total_pkts,target_pkts,pkt_ratio,avg_pkt_size,unique_MACs,mean_IAT_us,IAT_variance
78,14,0.179,111.5,5,12726.1,299998028.2
163,7,0.043,88.6,5,6109.7,59159932.1
353,1,0.003,66.7,6,2817.9,38009616.5
99,0,0.000,112.7,5,9619.9,268067955.4
43,1,0.023,179.3,5,23702.5,853857856.2
50,21,0.420,157.7,4,19320.9,457841179.7
38,7,0.184,201.6,6,26009.6,519317603.2
40,3,0.075,161.3,7,23672.6,671619036.1
44,1,0.023,278.6,7,23069.1,605194792.2
78,42,0.538,366.4,5,11895.7,309376628.0
208,154,0.740,136.3,6,4654.2,131970447.5
373,158,0.424,107.7,6,2662.2,16088437.1
306,188,0.614,120.3,4,3210.4,61388410.0
480,414,0.863,122.0,4,1927.9,47029229.2
249,122,0.490,87.8,4,3827.7,90006578.1
137,7,0.051,121.2,4,7258.3,203348078.3
84,6,0.071,127.5,5,11769.5,332282736.3
471,195,0.414,86.5,6,2093.3,22115932.3
361,118,0.327,93.5,5,2708.7,34927707.2
225,148,0.658,118.5,4,4347.3,99642817.1
167,141,0.844,123.4,5,5822.9,169079183.3
32,3,0.094,234.2,4,32020.0,728990543.8
32,8,0.250,211.3,5,29727.9,539688278.8
34,0,0.000,221.1,4,29248.2,696264022.3
46,16,0.348,180.3,5,21176.6,497289181.8
127,102,0.803,208.4,4,7321.9,201341045.6
43,18,0.419,294.9,4,22181.5,547901073.8
31,1,0.032,233.3,5,32231.6,622461823.4
88,7,0.080,124.2,7,10952.7,373321719.9
134,19,0.142,96.4,5,6978.0,240398883.5
105,6,0.057,105.6,5,8931.1,194716317.6
83,0,0.000,118.4,4,11725.3,371282660.9
81,4,0.049,168.8,6,12024.0,353622453.6
307,48,0.156,87.8,6,3224.7,22034304.8
284,28,0.099,85.5,7,3329.3,39418081.6
323,245,0.759,154.0,5,3049.3,60577859.9
395,344,0.871,147.5,5,2426.9,55668992.1
161,88,0.547,158.2,6,5605.7,138448099.9
453,419,0.925,157.3,6,2199.9,40577553.1
128,102,0.797,176.7,6,7509.4,252151193.9
252,184,0.730,128.3,5,3669.3,73370355.2
