total_pkts,target_pkts,pkt_ratio,avg_pkt_size,unique_MACs,mean_IAT_us,IAT_variance
1119,1092,0.976,112.6,4,891.5,8995016.2
901,638,0.708,112.7,5,1099.1,17621384.3
1356,1017,0.750,109.3,7,732.6,4220372.6
1280,1211,0.946,108.7,6,770.2,7239995.5
1210,1154,0.954,118.9,5,818.4,7353447.7
1136,1113,0.980,111.3,4,875.2,12280448.1
1162,1131,0.973,110.1,5,857.3,8690526.3
1291,1198,0.928,111.5,5,754.8,8503056.3
1186,1160,0.978,110.7,5,834.4,10308544.0
1238,1139,0.920,107.0,5,804.1,7522181.4
1510,1215,0.805,97.5,4,651.2,2870920.6
1343,1166,0.868,125.8,6,740.2,6766283.5
1226,1132,0.923,107.2,6,807.7,6934652.4
1224,1212,0.990,111.3,5,806.4,11592078.1
1788,857,0.479,131.3,4,555.9,6248341.0
1217,637,0.523,128.4,4,813.2,9333055.9
1502,1182,0.787,120.2,5,660.6,6264141.9
1183,889,0.751,107.4,6,838.7,6546363.1
1321,1013,0.767,98.7,8,755.1,3376116.2
1262,1070,0.848,107.0,5,791.5,5984457.5
1084,985,0.909,170.5,6,921.4,10264591.3
1226,1119,0.913,111.2,5,799.8,9061965.1
1177,1163,0.988,113.7,6,843.0,8316424.5
1400,1171,0.836,114.5,5,713.9,6515694.5
1321,1304,0.987,111.2,5,746.3,8324533.7
1430,1302,0.910,106.7,6,694.6,5977583.2
1405,1197,0.852,102.7,6,710.2,4203195.6
1208,1084,0.897,114.4,7,817.4,9354092.0
1303,1250,0.959,109.6,6,760.8,7172685.9
1278,1262,0.987,111.1,4,776.5,10500382.0
1170,1107,0.946,110.4,4,841.0,10922462.6
1351,1215,0.899,111.4,7,733.7,7456447.9
1236,1195,0.967,110.8,5,795.6,7741076.2
1379,1286,0.933,113.6,6,715.7,6517455.6
1364,1129,0.828,102.7,5,730.4,4258656.4
1151,1112,0.966,109.8,5,841.8,10837658.0
1261,1234,0.979,109.9,4,791.9,15276625.1
1280,1218,0.952,111.1,4,764.3,9379733.7
1060,1049,0.990,111.1,3,926.5,12551181.0
1317,1163,0.883,112.4,3,750.5,7448290.4
1370,1133,0.827,115.8,5,721.2,10644580.2
1613,957,0.593,123.4,3,602.1,4578752.5
1430,1214,0.849,103.6,3,685.7,3980071.4
1175,1147,0.976,110.3,4,850.8,10045034.5
1312,1182,0.901,106.2,6,749.8,7042059.3
1636,1221,0.746,119.2,5,602.4,6128622.1
1588,1011,0.637,117.8,5,627.6,5785898.1
1252,1177,0.940,107.7,5,784.1,7681854.3
1282,1226,0.956,112.8,6,763.3,9947332.0
1102,776,0.704,94.7,6,903.4,5577335.1
1164,921,0.791,101.0,8,847.5,3631129.1
1153,1073,0.931,107.5,6,851.8,7738382.8
1192,1161,0.974,111.5,5,830.4,9558915.6
1331,1266,0.951,108.0,6,738.1,8589591.8
1283,1204,0.938,108.3,5,763.3,8439750.9
1046,1024,0.979,110.8,5,945.9,13767081.8
1163,1153,0.991,111.1,3,844.7,16801591.8
1242,1140,0.918,107.1,5,792.2,5796398.4
1383,1165,0.842,102.5,5,721.0,3743621.0
1276,1247,0.977,110.9,5,781.2,9702104.0
1221,1193,0.977,111.1,5,814.0,9705509.0
1238,1197,0.967,109.9,5,799.6,9161038.0
1305,1263,0.968,110.5,5,745.5,9187924.5
1065,897,0.842,113.2,4,933.2,16134067.5
1233,1167,0.946,115.1,5,804.0,8658339.5
1295,922,0.712,152.6,7,766.7,6721598.8
1339,886,0.662,133.9,7,742.3,3987081.2
1006,941,0.935,108.0,6,964.2,11616866.0
979,966,0.987,111.9,4,1004.0,14207697.4
1080,1067,0.988,111.8,4,924.1,13999150.1
815,765,0.939,108.8,6,1170.2,18187443.7
505,439,0.869,116.9,3,1945.8,25271439.1
1275,1239,0.972,110.8,5,770.8,7599666.4
1356,1264,0.932,107.5,5,732.9,8417231.1
1220,1007,0.825,99.9,6,811.9,5706929.0
1295,1248,0.964,109.7,5,761.6,11405541.7
1171,1142,0.975,110.7,6,843.1,8224132.1
1083,1067,0.985,111.0,6,918.6,14018232.6
1036,1015,0.980,110.7,4,949.9,12539962.3
1181,1059,0.897,112.7,4,846.1,10444688.4
1274,1151,0.903,162.6,5,781.0,6572444.8
1026,780,0.760,130.7,8,968.3,8203786.6
1433,1025,0.715,108.1,7,674.0,2821363.4
1097,1031,0.940,111.0,6,908.8,8784847.5
1092,1033,0.946,109.7,7,905.0,8986611.9
1066,975,0.915,107.2,5,922.7,8084758.1
1089,991,0.910,105.9,5,910.3,8314852.4
1026,984,0.959,110.1,5,966.9,11000921.8
936,921,0.984,111.6,4,1059.4,12083096.3
1013,937,0.925,108.6,6,969.3,10584617.7
1202,1088,0.905,106.2,5,826.9,5249004.5
1002,927,0.925,108.0,5,995.3,9295683.0
1150,1004,0.873,105.6,5,867.8,7682031.1
1104,1057,0.957,109.3,5,902.4,11735368.3
1108,1038,0.937,109.3,6,900.9,9238396.9
992,872,0.879,106.0,6,1008.1,8166913.5
1127,992,0.880,105.6,6,879.7,6199253.9
1108,916,0.827,103.1,7,897.3,8976055.3
1332,760,0.571,141.5,6,748.0,3953711.5
1678,629,0.375,136.4,6,576.9,5882593.3
1425,874,0.613,112.7,7,697.3,8790311.8
1055,850,0.806,121.5,6,935.1,9568116.1
979,933,0.953,114.4,6,1021.5,11939065.0
1080,1056,0.978,110.6,4,906.0,9133109.0
1053,1040,0.988,111.1,5,937.0,11873890.9
1639,914,0.558,125.5,7,608.2,3905218.2
1768,386,0.218,127.7,6,563.5,3585258.7
1380,938,0.680,114.6,6,723.9,9202627.6
1405,1187,0.845,112.5,7,711.2,7957342.0
1394,1061,0.761,124.2,6,712.0,5582963.1
1384,1178,0.851,117.1,5,714.3,6253862.5
1192,1003,0.841,123.0,6,838.0,6340909.3
1388,1304,0.939,108.1,4,719.0,6244855.2
