total_pkts,target_pkts,pkt_ratio,avg_pkt_size,unique_MACs,mean_IAT_us,IAT_variance,label
1174,1033,0.88,105.4,6,829.8,6383930.4,udp_flood
1185,995,0.84,113.2,6,843.7,8037858.3,udp_flood
1148,1065,0.928,107.6,5,871.1,7967860.5,udp_flood
439,211,0.481,94.4,8,2274.9,12374985.4,udp_flood
216,110,0.509,190.4,3,4603.8,66272358.7,normal
118,93,0.788,194.7,5,8466.3,224000658.0,normal
1200,1175,0.979,122.9,5,828.5,11610720.3,udp_flood
1103,1044,0.947,116.5,3,903.9,7853734.8,udp_flood
217,102,0.47,111.8,6,4583.2,80010908.1,udp_flood
1050,953,0.908,106.0,5,944.6,10760040.2,udp_flood
150,27,0.18,78.7,5,6185.3,121013868.2,normal
1346,1332,0.99,119.0,3,729.2,8909509.9,udp_flood
476,291,0.611,114.6,8,2094.2,6193521.0,udp_flood
1264,1105,0.874,113.9,3,788.2,12536007.3,udp_flood
1127,992,0.88,105.6,6,879.7,6199253.9,udp_flood
1094,1010,0.923,107.9,5,910.9,7878467.2,udp_flood
147,40,0.272,87.0,7,6746.8,186325196.3,normal
217,28,0.129,192.3,8,4623.4,65127451.6,normal
1263,1132,0.896,110.4,6,787.6,6772559.7,udp_flood
187,2,0.011,75.9,6,5050.0,105462745.5,normal
348,145,0.417,291.7,6,2836.0,21680785.2,udp_flood
74,7,0.095,108.4,4,12663.3,482319080.5,normal
25,1,0.04,224.1,5,39808.8,1093324723.5,normal
57,13,0.228,120.0,4,16457.3,760928819.3,normal
107,19,0.178,167.2,5,9114.7,264595506.0,normal
171,102,0.596,149.7,7,5758.0,80726726.0,udp_flood
446,350,0.785,166.6,5,2123.6,48124612.9,normal
148,5,0.034,237.5,7,6601.3,102022467.3,normal
87,70,0.805,194.1,4,10715.1,244237394.7,normal
33,17,0.515,343.8,5,20821.7,801780703.8,normal
275,75,0.273,113.6,6,3596.1,37468096.3,normal
15,1,0.067,244.8,5,60588.7,1459700419.9,normal
345,50,0.145,69.7,7,2722.4,18691484.9,normal
266,10,0.038,71.4,6,3736.5,43855760.1,normal
48,19,0.396,173.2,6,21102.7,509290021.5,normal
1269,1168,0.92,108.1,7,770.2,9265288.2,udp_flood
808,562,0.696,93.6,7,1237.8,20209923.2,udp_flood
53,23,0.434,359.3,6,18491.8,746071877.2,normal
1395,1060,0.76,113.9,5,704.6,5856352.3,udp_flood
1119,765,0.684,174.6,6,879.0,9270773.1,udp_flood
1231,1209,0.982,113.4,6,793.3,9464731.7,udp_flood
1113,976,0.877,143.8,6,894.7,6980537.3,udp_flood
1162,948,0.816,114.5,6,857.2,11390176.9,udp_flood
1124,998,0.888,108.7,7,879.7,9049729.3,udp_flood
54,4,0.074,95.4,5,17734.7,574851984.5,normal
1430,1214,0.849,103.6,3,685.7,3980071.4,udp_flood
883,833,0.943,109.3,4,1116.5,11879618.3,udp_flood
1175,893,0.76,100.2,8,843.7,3888685.2,udp_flood
1168,1073,0.919,116.5,8,853.4,8220676.4,udp_flood
106,36,0.34,130.9,5,9504.3,207352808.5,normal
75,1,0.013,122.1,7,13329.8,542526205.3,normal
54,10,0.185,101.9,7,18491.0,389251017.2,normal
1303,1280,0.982,110.4,5,767.1,7594487.9,udp_flood
1536,1447,0.942,109.0,7,635.3,7320265.9,udp_flood
1172,1140,0.973,110.6,6,849.8,9758920.7,udp_flood
284,91,0.32,87.7,8,3494.5,64210308.1,normal
557,4,0.007,258.9,8,1769.9,20895192.0,normal
22,1,0.045,174.3,5,43905.1,1374454158.2,normal
178,104,0.584,150.3,8,5624.0,95082313.9,normal
300,242,0.807,176.4,7,3333.8,20677463.7,udp_flood
1210,1113,0.92,108.3,6,812.5,6925097.4,udp_flood
