total_pkts,target_pkts,pkt_ratio,avg_pkt_size,unique_MACs,mean_IAT_us,IAT_variance,label
1210,1170,0.967,116.1,4,809.4,7267216.1,udp_flood
1388,1145,0.825,105.2,4,712.7,4894285.8,udp_flood
70,55,0.786,144.3,5,14038.0,505716049.0,normal
1392,1153,0.828,101.7,7,708.7,3687420.2,udp_flood
82,10,0.122,89.6,5,12034.9,382885533.8,normal
151,42,0.278,186.7,5,6513.4,195620818.9,normal
101,6,0.059,82.1,5,8802.4,243411669.8,normal
1202,1088,0.905,106.2,5,826.9,5249004.5,udp_flood
49,20,0.408,159.8,5,19199.4,976099842.8,normal
138,22,0.159,121.9,4,6981.3,389744464.7,normal
53,8,0.151,120.4,6,18744.4,664225929.2,normal
1188,1108,0.933,108.3,4,836.3,7130478.7,udp_flood
1256,946,0.753,112.9,6,784.9,4616293.1,udp_flood
1289,1093,0.848,116.6,5,773.1,8190770.4,udp_flood
979,933,0.953,114.4,6,1021.5,11939065.0,udp_flood
343,235,0.685,100.7,6,2902.3,36110458.6,normal
1063,928,0.873,105.9,9,933.9,11207965.9,udp_flood
631,249,0.395,181.2,7,1578.0,15868838.7,udp_flood
1148,1099,0.957,122.0,5,864.2,9038139.5,udp_flood
282,49,0.174,508.8,6,3516.7,53575293.3,normal
1261,1234,0.979,109.9,4,791.9,15276625.1,udp_flood
1239,977,0.789,139.7,5,782.0,5104710.6,udp_flood
1550,1121,0.723,118.7,5,637.9,7273772.7,udp_flood
1060,926,0.874,106.2,9,942.6,11052582.5,udp_flood
632,524,0.829,128.7,7,1565.7,24347678.0,normal
1157,1048,0.906,126.6,6,850.9,6538212.7,udp_flood
469,314,0.67,122.4,5,2129.6,11792056.4,udp_flood
271,16,0.059,68.5,6,3668.7,48059178.9,normal
1312,1182,0.901,106.2,6,749.8,7042059.3,udp_flood
1093,1052,0.962,109.8,3,912.6,9772484.0,udp_flood
147,3,0.02,65.5,8,6833.4,83284540.4,normal
42,17,0.405,148.3,6,22505.9,522176450.8,normal
1171,1038,0.886,126.2,7,851.8,7782329.6,udp_flood
1331,1085,0.815,99.5,7,737.6,4851051.9,udp_flood
506,303,0.599,134.1,6,1974.5,7868692.0,udp_flood
540,133,0.246,453.1,5,1817.9,15922411.4,normal
114,47,0.412,68.6,6,8746.7,221852269.8,normal
111,40,0.36,159.7,6,8895.8,157057565.3,normal
311,167,0.537,289.2,4,3223.6,31342165.8,normal
188,70,0.372,325.6,6,4952.3,75505112.0,normal
34,21,0.618,488.6,3,28972.0,1345814242.5,normal
1186,1160,0.978,110.7,5,834.4,10308544.0,udp_flood
576,301,0.523,137.3,6,1738.5,14030065.4,normal
163,7,0.043,88.6,5,6109.7,59159932.1,normal
1336,1130,0.846,115.3,5,725.3,5301755.0,udp_flood
52,1,0.019,120.6,5,19001.9,685413161.6,normal
213,84,0.394,245.5,6,4653.1,55489259.1,normal
207,2,0.01,85.8,5,4785.7,188841369.8,normal
2268,2253,0.993,110.8,5,435.1,7148277.2,udp_flood
306,188,0.614,120.3,4,3210.4,61388410.0,normal
1268,767,0.605,130.3,7,784.3,8273184.2,udp_flood
67,22,0.328,134.2,7,14562.8,341216372.9,normal
1321,1304,0.987,111.2,5,746.3,8324533.7,udp_flood
1181,1059,0.897,112.7,4,846.1,10444688.4,udp_flood
358,262,0.732,152.0,6,2756.3,35077927.8,normal
119,38,0.319,83.6,5,8284.5,134802542.5,normal
136,0,0.0,245.5,4,7330.4,171038257.8,normal
29,2,0.069,221.3,5,32941.3,700490364.5,normal
169,4,0.024,179.7,4,5755.2,84358813.9,normal
29,7,0.241,252.9,4,34691.5,469191123.5,normal
57,13,0.228,180.1,6,17246.9,658284269.4,normal
190,1,0.005,79.0,5,5257.2,44459752.1,normal
140,95,0.679,129.2,6,7006.7,86130952.2,udp_flood
148,29,0.196,88.8,7,6429.4,80616406.9,normal
593,291,0.491,196.5,7,1659.4,11727104.9,udp_flood
237,39,0.165,97.8,6,4189.3,41849460.7,normal
146,37,0.253,102.8,6,6654.7,190424141.1,normal
31,18,0.581,144.0,4,30922.6,756773595.4,normal
1450,881,0.608,133.1,5,681.9,11469793.6,udp_flood
411,160,0.389,184.7,6,2397.4,30479359.4,normal
249,122,0.49,87.8,4,3827.7,90006578.1,normal
